t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi [rad],r_angvelo [rad/s],true_wind_speed [m/s],true_wind_direction [rad],delta_rudder_p [rad],delta_rudder_s [rad],n_prop [rps],n_bt [rps],x_position_mid_hat [m],u_velo_hat [m/s],y_position_mid_hat [m],vm_velo_hat [m/s],psi_hat [rad],r_angvelo_hat [rad/s],true_wind_speed_hat [m/s],true_wind_direction_hat [rad],collision,apparent_wind_speed [m/s],apparent_wind_direction [rad],apparent_wind_speed_hat [m/s],apparent_wind_direction_hat [rad]
123.69999999999725,27.99206017395223,0.2775557098497144,32.8885412629563,0.09303609160256392,0.6091476190200404,-0.07098196698101293,0.24149914594836297,2.905551141621042,-0.5235987755982988,-0.5235987755982988,10.0,0.0,27.99718598440345,0.2788132670961745,32.86449749387646,0.09459044066895224,0.6117917776295289,-0.07128941791508245,0.24149914594836297,2.905551141621042,0,0.4464954547161368,2.944051730009176,0.4464954547161368,2.944051730009176
123.79999999999724,28.00950028448493,0.27692865237422315,32.91205235414144,0.0929288940998796,0.6020494223219391,-0.07097723907817535,0.2440963611555641,2.9076810241486792,-0.5235987755982988,-0.5235987755982988,10.0,0.0,27.967981012563836,0.2573348605507104,32.93626491297569,0.100003219613846,0.6005747125218401,-0.0688175178023879,0.2440963611555641,2.9076810241486792,0,0.4493236003845413,2.944068524810365,0.4493236003845413,2.944068524810365
123.89999999999723,28.02706123094323,0.2763062101942857,32.93539471345092,0.0928217499527221,0.5949516984141217,-0.07097245891844893,0.2433066195495469,2.893784353624787,-0.5235987755982988,-0.5235987755982988,10.0,0.0,28.035364749679644,0.2965973873238437,32.923481971203515,0.09248065160760703,0.5928760168402298,-0.0716803007829503,0.2433066195495469,2.893784353624787,0,0.4471110800533253,2.9416494329977563,0.4471110800533253,2.9416494329977563
123.99999999999723,28.044741867247993,0.2756882568023166,32.958568083737106,0.09271459956124757,0.5878544525222767,-0.07096774231232243,0.2445583550312544,2.9032850645782666,-0.5235987755982988,-0.5235987755982988,10.0,0.0,27.99484239323135,0.2592985511481832,32.95844906070362,0.0877408588388587,0.5892372490542034,-0.06996025770607439,0.2445583550312544,2.9032850645782666,0,0.449940657727362,2.9467411034998308,0.449940657727362,2.9467411034998308
124.09999999999722,28.062541044391704,0.27507488687827486,32.981572201023184,0.09260768135170916,0.5807576782910445,-0.07096297238462743,0.24530053232575413,2.882030515986794,-0.5235987755982988,-0.5235987755982988,10.0,0.0,27.99348745770103,0.2847685381647222,32.96548362087103,0.08295622243570654,0.5826123841332982,-0.07352168979293486,0.24530053232575413,2.882030515986794,0,0.4479025152902201,2.9390370939189965,0.4479025152902201,2.9390370939189965
124.19999999999722,28.080457612501505,0.274465936714486,33.004406831467556,0.09250063359996412,0.5736613810525818,-0.07095827892014776,0.2423375011322788,2.8788679605575456,-0.5235987755982988,-0.5235987755982988,10.0,0.0,28.08765774560124,0.2735615460800521,32.96879518391515,0.09889578810766753,0.5724684098956948,-0.07334959361845732,0.2423375011322788,2.8788679605575456,0,0.44551900517204934,2.9442082649747428,0.44551900517204934,2.9442082649747428
124.29999999999721,28.0984904321466,0.2738614262682048,33.027071707200214,0.09239384688638186,0.566565553160567,-0.07095364880896794,0.24201608034673597,2.890379197571058,-0.5235987755982988,-0.5235987755982988,10.0,0.0,28.05916270285709,0.25451891730051074,33.01928158939247,0.11603055843345639,0.5632938928932615,-0.07070444362242502,0.24201608034673597,2.890379197571058,0,0.4473556264593047,2.9522732951802753,0.4473556264593047,2.9522732951802753
124.3999999999972,28.116638348631316,0.27326141256448516,33.04956659916851,0.09228741514204948,0.5594701882796702,-0.07094899178493774,0.2433031611333422,2.902124292968972,-0.5235987755982988,-0.5235987755982988,10.0,0.0,28.083403096620053,0.2689512608019724,33.08387878859763,0.10301333868803905,0.5599679413418016,-0.07229368968447752,0.2433031611333422,2.902124292968972,0,0.45049578404538093,2.958398037672341,0.45049578404538093,2.958398037672341
124.4999999999972,28.134900211806308,0.27266588020189914,33.071891294447084,0.09218129196988005,0.5523752891011764,-0.07094429044826066,0.24289101008526115,2.8932300812433787,-0.5235987755982988,-0.5235987755982988,10.0,0.0,28.146298784597704,0.27467697063778107,33.13561496137817,0.07602513595511197,0.5522727808041289,-0.07260131086371516,0.24289101008526115,2.8932300812433787,0,0.4493404761872643,2.9576606519990007,0.4493404761872643,2.9576606519990007
124.5999999999972,28.15327487737052,0.2720747022063094,33.094045580568704,0.09207528752747533,0.5452808600563503,-0.07093964906683146,0.24478683865514644,2.905738872931007,-0.5235987755982988,-0.5235987755982988,10.0,0.0,28.127115717207595,0.2804523092360939,33.123505785696295,0.08080578791280982,0.5475093140577607,-0.07240727270709556,0.24478683865514644,2.905738872931007,0,0.45306991864795754,2.963470772815799,0.45306991864795754,2.963470772815799
